tag_name,published_at,prerelease,author_login
v1.15.7,2020-06-17T16:10:01Z,False,afrozenator
v1.15.6,2020-06-02T15:03:13Z,False,afrozenator
v1.15.5,2020-04-18T18:14:22Z,False,afrozenator
v1.15.4,2020-01-11T01:06:45Z,False,afrozenator
v1.15.3,2020-01-10T22:39:54Z,False,afrozenator
v1.15.2,2019-11-23T08:52:29Z,False,afrozenator
v1.15.1,2019-11-23T08:19:30Z,False,afrozenator
v1.15.0,2019-11-22T16:15:10Z,False,afrozenator
v1.14.1,2019-10-03T21:04:09Z,False,afrozenator
v1.14.0,2019-08-21T22:03:23Z,False,afrozenator
v1.13.4,2019-05-08T16:04:02Z,False,afrozenator
v1.13.3,2019-05-08T01:23:49Z,False,afrozenator
v1.13.2,2019-04-08T19:03:21Z,False,afrozenator
v1.13.1,2019-03-22T00:35:08Z,False,afrozenator
v1.13.0,2019-03-22T01:00:29Z,False,afrozenator
v.1.12.0,2019-01-11T23:46:06Z,False,afrozenator
v1.11.0,2018-11-15T06:16:44Z,False,afrozenator
v1.10.0,2018-10-30T06:48:48Z,False,afrozenator
v1.9.0,2018-09-08T01:30:08Z,False,afrozenator
v1.8.0,2018-08-20T17:36:29Z,False,afrozenator
v1.7.0,2018-08-10T03:54:48Z,False,afrozenator
v1.6.6,2018-06-26T21:42:37Z,False,lukaszkaiser
v1.6.5,2018-06-15T20:49:49Z,False,rsepassi
v1.6.3,2018-05-21T23:18:34Z,False,rsepassi
v1.6.2,2018-05-08T03:23:02Z,False,lukaszkaiser
v1.6.1,2018-04-26T23:43:26Z,False,rsepassi
v1.6.0,2018-04-20T22:59:30Z,False,rsepassi
v1.5.7,2018-04-13T21:29:38Z,False,rsepassi
v1.5.6,2018-04-05T20:47:48Z,False,rsepassi
v1.5.5,2018-03-10T02:16:11Z,False,rsepassi
v1.5.4,2018-03-02T22:38:02Z,False,rsepassi
v1.5.3,2018-02-26T23:39:47Z,False,rsepassi
v1.5.2,2018-02-17T01:27:55Z,False,rsepassi
v1.5.1,2018-02-12T05:30:30Z,False,rsepassi
v1.5.0,2018-02-12T03:24:17Z,False,rsepassi
v1.4.4,2018-02-08T23:09:24Z,False,rsepassi
v1.4.3,2018-02-02T01:54:59Z,False,rsepassi
v1.4.2,2018-01-13T01:55:58Z,False,rsepassi
v1.4.1,2017-12-22T19:26:32Z,False,rsepassi
v1.4.0,2017-12-21T18:22:38Z,False,rsepassi
v1.3.2,2017-12-04T02:29:26Z,False,lukaszkaiser
v1.3.1,2017-12-02T00:05:08Z,False,rsepassi
v1.3.0,2017-11-29T22:42:37Z,False,rsepassi
v1.2.9,2017-11-14T01:50:27Z,False,rsepassi
v1.2.8,2017-11-11T02:14:54Z,False,rsepassi
v1.2.7,2017-11-03T03:27:30Z,False,lukaszkaiser
v1.2.6,2017-10-27T00:41:24Z,False,rsepassi
v1.2.5,2017-10-16T18:43:36Z,False,rsepassi
v1.2.4,2017-09-30T17:48:08Z,False,rsepassi
v1.2.3,2017-09-22T20:19:06Z,False,rsepassi
v1.2.2,2017-09-09T00:33:23Z,False,rsepassi
v1.2.1,2017-08-30T01:04:17Z,False,rsepassi
v1.2.0,2017-08-26T00:44:18Z,False,rsepassi
v1.1.9,2017-08-17T02:16:02Z,False,rsepassi
v1.1.8,2017-08-11T23:23:14Z,False,rsepassi
v1.1.7,2017-08-09T22:27:14Z,False,rsepassi
v1.1.6,2017-08-04T23:38:28Z,False,rsepassi
v1.1.5,2017-08-03T00:32:57Z,False,rsepassi
v1.1.4,2017-08-02T01:24:02Z,False,rsepassi
v1.1.3,2017-07-28T02:45:01Z,False,rsepassi
v1.1.2,2017-07-27T19:48:53Z,False,rsepassi
v1.1.1,2017-07-20T03:21:25Z,False,rsepassi
v1.1.0,2017-07-19T17:58:36Z,False,rsepassi
v1.0.14,2017-07-15T00:03:51Z,False,rsepassi
v1.0.13,2017-07-12T01:35:29Z,False,rsepassi
v1.0.12,2017-07-08T00:31:09Z,False,lukaszkaiser
v1.0.11,2017-07-06T03:20:54Z,False,lukaszkaiser
v1.0.10,2017-07-01T22:27:09Z,False,lukaszkaiser
v1.0.9,2017-06-29T23:30:58Z,False,rsepassi
v1.0.8,2017-06-27T17:13:28Z,False,rsepassi
v1.0.7,2017-06-24T01:30:22Z,False,rsepassi
v1.0.6,2017-06-23T18:21:45Z,False,rsepassi
v1.0.5,2017-06-22T00:43:32Z,False,rsepassi
v1.0.4,2017-06-21T01:15:40Z,False,rsepassi
v1.0.3,2017-06-20T20:41:22Z,False,rsepassi
